Country or Area,Year,Area,Type of housing unit,Tenure,Record Type,Reliability,Source Year,Value
Colombia,2005,Rural,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,27404
Colombia,2005,Rural,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,10605
Colombia,2005,Rural,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2009,15098
Colombia,2005,Rural,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,5007
Colombia,2005,Rural,Other housing units,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,1203
Colombia,2005,Rural,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Colombia,2005,Rural,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Colombia,2005,Rural,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Colombia,2005,Rural,Unknown (type of housing unit),Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Colombia,2005,Rural,Unknown (type of housing unit),Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Colombia,2005,Rural,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Cook Islands,2011,Total,Total,Total,Census - de facto - complete tabulation,"Final figure, complete",2015,4372
Cook Islands,2011,Total,Total,Member of household owns the housing unit,Census - de facto - complete tabulation,"Final figure, complete",2015,2997
Cook Islands,2011,Total,Total,Member of household rents all or a part of the housing unit,Census - de facto - complete tabulation,"Final figure, complete",2015,742
Cook Islands,2011,Total,Total,Occupied free of rent,Census - de facto - complete tabulation,"Final figure, complete",2015,550
Cook Islands,2011,Total,Total,Other arrangements,Census - de facto - complete tabulation,"Final figure, complete",2015,83
Cook Islands,2011,Total,Conventional dwellings,Total,Census - de facto - complete tabulation,"Final figure, complete",2015,4372
Cook Islands,2011,Total,Conventional dwellings,Member of household owns the housing unit,Census - de facto - complete tabulation,"Final figure, complete",2015,2997
Cook Islands,2011,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de facto - complete tabulation,"Final figure, complete",2015,742
Cook Islands,2011,Total,Conventional dwellings,Occupied free of rent,Census - de facto - complete tabulation,"Final figure, complete",2015,550
Cook Islands,2011,Total,Conventional dwellings,Other arrangements,Census - de facto - complete tabulation,"Final figure, complete",2015,83
Costa Rica,2011,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1236981
Costa Rica,2011,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,864715
Costa Rica,2011,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,249320
Costa Rica,2011,Total,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,97674
Costa Rica,2011,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,25272
Costa Rica,2011,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1225865
Costa Rica,2011,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,862055
Costa Rica,2011,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,247542
Costa Rica,2011,Total,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,95497
Costa Rica,2011,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,20771
Costa Rica,2011,Total,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,11116
Costa Rica,2011,Total,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,2660
Costa Rica,2011,Total,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,1778
Costa Rica,2011,Total,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,2177
Costa Rica,2011,Total,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,4501
Costa Rica,2011,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,905727
Costa Rica,2011,Urban,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,624458
Costa Rica,2011,Urban,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,215481
Costa Rica,2011,Urban,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,45387
Costa Rica,2011,Urban,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,20401
Costa Rica,2011,Urban,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,897713
Costa Rica,2011,Urban,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,622891
Costa Rica,2011,Urban,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,214100
Costa Rica,2011,Urban,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,44285
Costa Rica,2011,Urban,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,16437
Costa Rica,2011,Urban,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,8014
Costa Rica,2011,Urban,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,1567
Costa Rica,2011,Urban,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,1381
Costa Rica,2011,Urban,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,1102
Costa Rica,2011,Urban,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,3964
Costa Rica,2011,Rural,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,331254
Costa Rica,2011,Rural,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,240257
Costa Rica,2011,Rural,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,33839
Costa Rica,2011,Rural,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,52287
Costa Rica,2011,Rural,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,4871
Costa Rica,2011,Rural,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,328152
Costa Rica,2011,Rural,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,239164
Costa Rica,2011,Rural,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,33442
Costa Rica,2011,Rural,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,51212
Costa Rica,2011,Rural,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,4334
Costa Rica,2011,Rural,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,3102
Costa Rica,2011,Rural,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,1093
Costa Rica,2011,Rural,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,397
Costa Rica,2011,Rural,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,1075
Costa Rica,2011,Rural,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,537
Croatia,2011,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1497514
Croatia,2011,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,1337662
Croatia,2011,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,59180
Croatia,2011,Total,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,62831
Croatia,2011,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,37841
Croatia,2011,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1496558
Croatia,2011,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,1337662
Croatia,2011,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,59180
Croatia,2011,Total,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,62831
Croatia,2011,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,36885
Croatia,2011,Total,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,956
Croatia,2011,Total,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,0
Croatia,2011,Total,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,0
Croatia,2011,Total,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,0
Croatia,2011,Total,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,956
Croatia,2011,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,870713
Croatia,2011,Urban,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,751073
Croatia,2011,Urban,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,48992
Croatia,2011,Urban,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,42675
Croatia,2011,Urban,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,27973
Croatia,2011,Urban,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,870383
Croatia,2011,Urban,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,751073
Croatia,2011,Urban,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,48992
Croatia,2011,Urban,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,42675
Croatia,2011,Urban,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,27643
Croatia,2011,Urban,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,330
Croatia,2011,Urban,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,0
Croatia,2011,Urban,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,0
Croatia,2011,Urban,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,0
Croatia,2011,Urban,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,330
Croatia,2011,Rural,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,626801
Croatia,2011,Rural,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,586589
Croatia,2011,Rural,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,10188
Croatia,2011,Rural,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,20156
Croatia,2011,Rural,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,9868
Croatia,2011,Rural,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,626175
Croatia,2011,Rural,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,586589
Croatia,2011,Rural,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,10188
Croatia,2011,Rural,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,20156
Croatia,2011,Rural,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,9242
Croatia,2011,Rural,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,626
Croatia,2011,Rural,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,0
Croatia,2011,Rural,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,0
Croatia,2011,Rural,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,0
Croatia,2011,Rural,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,626
Croatia,2001,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,1457939
Croatia,2001,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,1224012
Croatia,2001,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,103192
Croatia,2001,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,127912
Croatia,2001,Total,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,2823
Croatia,2001,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,1455116
Croatia,2001,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,1224012
Croatia,2001,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,103192
Croatia,2001,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,127912
Croatia,2001,Total,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Croatia,2001,Total,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,2823
Croatia,2001,Total,Other housing units,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,2823
Cyprus,2011,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,300964
Cyprus,2011,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,205165
Cyprus,2011,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,58655
Cyprus,2011,Total,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,16987
Cyprus,2011,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,16851
Cyprus,2011,Total,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2013,3306
Cyprus,2011,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,300964
Cyprus,2011,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,205165
Cyprus,2011,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,58655
Cyprus,2011,Total,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,16987
Cyprus,2011,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,16851
Cyprus,2011,Total,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2013,3306
Cyprus,2011,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,207187
Cyprus,2011,Urban,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,136813
Cyprus,2011,Urban,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,47347
Cyprus,2011,Urban,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,9930
Cyprus,2011,Urban,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,10337
Cyprus,2011,Urban,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2013,2760
Cyprus,2011,Urban,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,207187
Cyprus,2011,Urban,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,136813
Cyprus,2011,Urban,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,47347
Cyprus,2011,Urban,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,9930
Cyprus,2011,Urban,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,10337
Cyprus,2011,Urban,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2013,2760
Cyprus,2011,Rural,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,93777
Cyprus,2011,Rural,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,68352
Cyprus,2011,Rural,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,11308
Cyprus,2011,Rural,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,7057
Cyprus,2011,Rural,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,6514
Cyprus,2011,Rural,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2013,546
Cyprus,2011,Rural,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,93777
Cyprus,2011,Rural,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,68352
Cyprus,2011,Rural,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,11308
Cyprus,2011,Rural,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,7057
Cyprus,2011,Rural,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,6514
Cyprus,2011,Rural,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2013,546
Czechia,2011,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,4372085
Czechia,2011,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,4320691
Czechia,2011,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2012,2437144
Czechia,2011,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2012,964267
Czechia,2011,Total,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2012,146341
Czechia,2011,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2012,442742
Czechia,2011,Total,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2012,330197
Czechia,2011,Total,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,51394
Czechia,2011,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,3305870
Czechia,2011,Urban,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,3273805
Czechia,2011,Urban,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2012,1664603
Czechia,2011,Urban,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2012,861242
Czechia,2011,Urban,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2012,78760
Czechia,2011,Urban,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2012,413624
Czechia,2011,Urban,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2012,255576
Czechia,2011,Urban,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,32065
Czechia,2011,Rural,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,1066215
Czechia,2011,Rural,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,1046886
Czechia,2011,Rural,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2012,772541
Czechia,2011,Rural,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2012,103025
Czechia,2011,Rural,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2012,67581
Czechia,2011,Rural,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2012,29118
Czechia,2011,Rural,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2012,74621
Czechia,2011,Rural,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,19329
Czechia,2001,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,4216085
Czechia,2001,Total,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,55875
Czechia,2001,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,4181154
Czechia,2001,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,1987403
Czechia,2001,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,1183779
Czechia,2001,Total,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2009,182858
Czechia,2001,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,806170
Czechia,2001,Total,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,20944
Czechia,2001,Total,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2009,34931
Czechia,2001,Total,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,34931
Czechia,2001,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,3196756
Czechia,2001,Urban,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,42806
Czechia,2001,Urban,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,3170179
Czechia,2001,Urban,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,1235374
Czechia,2001,Urban,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,1075900
Czechia,2001,Urban,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2009,94177
Czechia,2001,Urban,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,748499
Czechia,2001,Urban,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,16229
Czechia,2001,Urban,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2009,26577
Czechia,2001,Urban,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,26577
Czechia,2001,Rural,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,1019329
Czechia,2001,Rural,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,13069
Czechia,2001,Rural,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,1010975
Czechia,2001,Rural,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,752029
Czechia,2001,Rural,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,107879
Czechia,2001,Rural,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2009,88681
Czechia,2001,Rural,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,57671
Czechia,2001,Rural,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,4715
Czechia,2001,Rural,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2009,8354
Czechia,2001,Rural,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,8354
Democratic People's Republic of Korea,2008,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,5887471
Democratic People's Republic of Korea,2008,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,5827607
Democratic People's Republic of Korea,2008,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,59864
Democratic People's Republic of Korea,2008,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,3579626
Democratic People's Republic of Korea,2008,Urban,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,3543673
Democratic People's Republic of Korea,2008,Urban,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,35953
Democratic People's Republic of Korea,2008,Rural,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,2307845
Democratic People's Republic of Korea,2008,Rural,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,2283934
Democratic People's Republic of Korea,2008,Rural,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,23911
Dominican Republic,2010,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,2671979
Dominican Republic,2010,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,1522035
Dominican Republic,2010,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,877378
Dominican Republic,2010,Total,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,262063
Dominican Republic,2010,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,10503
Dominican Republic,2010,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,2377038
Dominican Republic,2010,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,1440550
Dominican Republic,2010,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,706840
Dominican Republic,2010,Total,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,221157
Dominican Republic,2010,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,8491
Dominican Republic,2010,Total,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,272124
Dominican Republic,2010,Total,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,75789
Dominican Republic,2010,Total,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,157704
Dominican Republic,2010,Total,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,37093
Dominican Republic,2010,Total,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,1538
Dominican Republic,2010,Total,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2013,22817
Dominican Republic,2010,Total,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,5696
Dominican Republic,2010,Total,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,12834
Dominican Republic,2010,Total,Unknown (type of housing unit),Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,3813
Dominican Republic,2010,Total,Unknown (type of housing unit),Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,474
Dominican Republic,2010,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1990172
Dominican Republic,2010,Urban,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,1047213
